_,Id,litify_pm__Display_Name__c,litify_pm__Client__r,litify_pm__Client__r.bis_Full_Formatted_Name__c,RecordType,RecordType.Name,bis_Case_Type__c,litify_pm__Status__c,Case_Stage__c,Case_Sub_Stage__c,litify_pm__Open_Date__c,litify_pm__Closed_Date__c,Primary_Legal_Assistant__r,bis_Attorney_Name__c,Primary_Legal_Assistant__r.Name
[litify_pm__Matter__c],2ed7148386a56d1db9,Morgan Brown,[Account],Morgan Taylor,[RecordType],Billable Matter,WC WC-IN-HOUSE,Closed,Active,,7/21/23,8/31/23,,Taylor Miller,Riley Lee
[litify_pm__Matter__c],77934fca56ba4bd509,Avery Taylor,[Account],Jordan Johnson,[RecordType],Personal Injury,PI AUTO-IN-HOUSE MINOR,Closed,Closed,,7/21/23,9/22/23,,Riley Wilson,Morgan Brown
[litify_pm__Matter__c],34a706be1613efd297,Avery Wilson,[Account],Avery Wilson,[RecordType],Personal Injury,PI AUTO-IN-HOUSE,Closed,Pre-Lit Settlement,,7/25/23,3/6/24,,Morgan Taylor,Riley Brown
[litify_pm__Matter__c],366b94b5409a51fb68,Morgan Davis,[Account],Jordan Johnson,[RecordType],Personal Injury,PI AUTO-IN-HOUSE,Closed,Closed,,7/22/23,9/8/23,,Taylor Davis,Morgan Miller
[litify_pm__Matter__c],e804667b98067fa9ea,Morgan Smith,[Account],Alex Lee,[RecordType],Personal Injury,PI AUTO-IN-HOUSE,Closed,Closed,,7/22/23,8/31/23,,Jordan Davis,Avery Smith
[litify_pm__Matter__c],ef911165c148f2a077,Riley Davis,[Account],Casey Miller,[RecordType],Personal Injury,PI AUTO-IN-HOUSE,Closed,Closed,,7/24/23,12/7/23,,Jamie Smith,Taylor Taylor
[litify_pm__Matter__c],1183a7eb188081cec9,Taylor Wilson,[Account],Taylor Miller,[RecordType],Personal Injury,PI AUTO-IN-HOUSE,Closed,Closed,,7/22/23,9/8/23,,Riley Miller,Alex Davis
[litify_pm__Matter__c],5751485a59c7062197,Alex Davis,[Account],Taylor Lee,[RecordType],Personal Injury,PI AUTO-IN-HOUSE,Closed,Pre-Lit Settlement,,7/22/23,1/22/24,,Riley Lee,Alex Taylor
[litify_pm__Matter__c],e94b89a4e1ce6e8626,Morgan Smith,[Account],Morgan Davis,[RecordType],Personal Injury,PI AUTO-IN-HOUSE,Closed,Closed,,7/23/23,4/3/24,,Riley Wilson,Taylor Johnson
[litify_pm__Matter__c],0ab59367dd16c0a1e9,Alex Lee,[Account],Riley Miller,[RecordType],Personal Injury,PI AUTO-IN-HOUSE,Closed,Pre-Lit Settlement,,7/24/23,6/7/24,,Casey Johnson,Jamie Smith
[litify_pm__Matter__c],9e5535c1c9b63a398a,Taylor Davis,[Account],Jamie Miller,[RecordType],Billable Matter,WC WC-IN-HOUSE,Closed,Pre-Lit Settlement,,7/24/23,11/28/23,,Jamie Davis,Taylor Lee
[litify_pm__Matter__c],6af0fcf9440282bc40,Casey Wilson,[Account],Jamie Johnson,[RecordType],Personal Injury,PI AUTO-IN-HOUSE,Closed,Closed,,7/24/23,12/15/23,,Avery Davis,Casey Johnson
[litify_pm__Matter__c],1ec91943950517b056,Jamie Brown,[Account],Alex Taylor,[RecordType],Personal Injury,PI AUTO-IN-HOUSE,Closed,Pre-Lit Settlement,,7/24/23,6/7/24,,Taylor Smith,Morgan Taylor
[litify_pm__Matter__c],ef4be5d3ecef2a5c92,Riley Smith,[Account],Riley Taylor,[RecordType],Billable Matter,PI OTHER-IN-HOUSE,Closed,Closed,,7/24/23,8/31/23,,Casey Taylor,Morgan Lee
[litify_pm__Matter__c],aad3ac4bfbb1bbcbc2,Morgan Brown,[Account],Morgan Lee,[RecordType],Personal Injury,PI AUTO-IN-HOUSE,Closed,Closed,,7/24/23,9/11/23,,Taylor Miller,Taylor Brown
[litify_pm__Matter__c],3e677272a96211f001,Jamie Wilson,[Account],Riley Miller,[RecordType],Billable Matter,WC WC-IN-HOUSE,Settled,Pre-Lit Settlement,,1/18/23,10/17/23,,Taylor Lee,Jamie Taylor
[litify_pm__Matter__c],6836528f0c4cecb81f,Jordan Wilson,[Account],Morgan Brown,[RecordType],Billable Matter,WC WC-IN-HOUSE,Settled,Pre-Lit Settlement,,3/30/23,2/1/24,,Jordan Taylor,Riley Davis
[litify_pm__Matter__c],e5a2d75ad1e505774e,Jordan Johnson,[Account],Casey Davis,[RecordType],Billable Matter,WC WC-IN-HOUSE,Settled,Pre-Lit Settlement,,2/3/23,8/31/23,,Alex Davis,Casey Wilson
[litify_pm__Matter__c],b2f7c045dd10f0b8d5,Jamie Davis,[Account],Casey Taylor,[RecordType],Billable Matter,WC WC-IN-HOUSE,Closed,Closed,,8/21/23,4/3/24,,Alex Miller,Jordan Davis
[litify_pm__Matter__c],2d699edaaf443cf124,Jordan Brown,[Account],Morgan Lee,[RecordType],Billable Matter,WC WC-IN-HOUSE,Closed,Closed,,7/12/23,7/19/23,,Alex Taylor,Alex Wilson
